,Compound,Date,Negative,Neutral,Positive,Tweet,User
0,0.0,Sun Jan 14 20:15:03 +0000 2018,0.0,1.0,0.0,Britain is the only place in the world with a medieval Coronation ceremony. 🇬🇧 #TheCoronation https://t.co/WJfENrXnu3,BBC
1,-0.079,Sun Jan 14 20:00:09 +0000 2018,0.142,0.731,0.128,"Long nights, snowshoes and a broken down boat... 

🎥🐯🎬 This is what it was really like filming #BigCats.… https://t.co/Ot9oNcEwkI",BBC
2,-0.2023,Sun Jan 14 19:30:08 +0000 2018,0.182,0.677,0.141,"Ten times pop culture romanticised sexual harassment. 

And maybe you didn't even notice it...… https://t.co/P28RPwXaNK",BBC
3,0.0772,Sun Jan 14 19:00:07 +0000 2018,0.188,0.598,0.214,"No sympathy from the camera operator at all. 😂
https://t.co/cQF64ofzMz",BBC
4,0.296,Sun Jan 14 18:33:04 +0000 2018,0.0,0.891,0.109,"On the 65th anniversary of the Coronation, the Queen shares her memories of the ceremony. 👑

#TheCoronation | 8pm |… https://t.co/E9PmcZEnsf",BBC
5,-0.0772,Sun Jan 14 18:00:06 +0000 2018,0.098,0.902,0.0,🚴🇨🇴 Could one of the toughest cycling races bring unity to Colombia? https://t.co/VRRzqjLWMa,BBC
6,0.9423,Sun Jan 14 17:30:08 +0000 2018,0.0,0.377,0.623,"Rusty spotted cats are super rare, super small and super adorable. 😻

#BigCats https://t.co/PgIC5WfdaJ",BBC
7,0.2003,Sun Jan 14 17:02:03 +0000 2018,0.0,0.905,0.095,"Remember when Jay-Z had a legal showdown with a restaurant in Newcastle?! 🤔🎶

Here are 6 of the strangest lawsuits… https://t.co/PwwpuXxHrZ",BBC
8,-0.4767,Sun Jan 14 16:30:09 +0000 2018,0.162,0.838,0.0,"🔍 @IanMcKellen stars as a retired Sherlock Holmes who is haunted by a final case.

#MrHolmes | 6:20pm | @BBCTwo |… https://t.co/iTfz9A9NfS",BBC
9,0.0,Sun Jan 14 16:00:06 +0000 2018,0.0,1.0,0.0,"In Greenland, you can find a shark that could live for hundreds of years. 😲🦈 https://t.co/kc08HclHef",BBC
10,-0.1027,Sun Jan 14 15:00:10 +0000 2018,0.116,0.789,0.095,A @NASA telescope has yielded important insights into how stars are born from collapsing gas and dust.… https://t.co/Ag4bp18ZG0,BBC
11,0.0,Sun Jan 14 14:00:04 +0000 2018,0.0,1.0,0.0,"While parts of the US &amp; Canada felt as cold as -67C recently, Australia is experiencing its hottest weather in 79 y… https://t.co/mtrZUhzthy",BBC
12,0.7264,Sun Jan 14 13:26:03 +0000 2018,0.0,0.679,0.321,"🎬 Thrillers, comedy and foreign drama.

📺 @BBC_Culture rounds up the most exciting programmes on the small screen o… https://t.co/DpxgDUIyij",BBC
13,0.5093,Sun Jan 14 13:03:04 +0000 2018,0.0,0.859,0.141,"Nominations for the BBC Food and Farming Awards 2018 are now open! 🌽🍅

If there’s a producer, cook, retailer or ini… https://t.co/mkDAtLcc3R",BBC
14,-0.765,Sun Jan 14 12:30:07 +0000 2018,0.306,0.694,0.0,YouTube has decided to cut ties with vlogger Logan Paul over his Japan suicide video. https://t.co/zE0vEGoLkK https://t.co/rzGMXlKv0s,BBC
15,0.0,Sun Jan 14 12:00:07 +0000 2018,0.0,1.0,0.0,"Ever wondered how mayonnaise is made? 

Take a peek #InsideTheFactory. https://t.co/laIJyyTO5Q",BBC
16,-0.3612,Sun Jan 14 11:30:09 +0000 2018,0.217,0.783,0.0,Snow has fallen in the Sahara desert. ❄️ https://t.co/804PRapagA https://t.co/g3lQIY7l9O,BBC
17,0.8803,Sun Jan 14 11:18:04 +0000 2018,0.0,0.662,0.338,"RT @bbcmusic: Happy Birthday Dave Grohl! 🎁🎈✨

HOW GREAT was the @FooFighters AC/DC cover in @BBCR1's Live Lounge??
Watch 👉 https://t.co/4lk…",BBC
18,0.3612,Sun Jan 14 11:03:03 +0000 2018,0.0,0.839,0.161,🐒❄️ Here's what the weather looked like around the world this week. 📸  https://t.co/TTYG5JmFJ1 https://t.co/l9vs9T9J9A,BBC
19,0.8113,Sun Jan 14 10:42:37 +0000 2018,0.0,0.599,0.401,"RT @BBCRadio4: 🐦 Let this joyous birdsong ease you into your Sunday morning...
https://t.co/t8HCfaDl7X",BBC
20,-0.4939,Mon Jan 15 04:01:51 +0000 2018,0.211,0.789,0.0,This is how people in Hawaii reacted to the missile scare https://t.co/RGxi6lzXEz https://t.co/7wbiOuYRPf,CNN
21,0.0,Mon Jan 15 03:53:02 +0000 2018,0.0,1.0,0.0,Oil tanker burning in the East China Sea sinks https://t.co/fXyBozdAy7 https://t.co/TDxiPF4m3K,CNN
22,0.6209,Mon Jan 15 03:47:03 +0000 2018,0.066,0.701,0.233,"As a citizen of Norway, I can tell you we're not flattered, but offended by President Trump's eagerness to have us… https://t.co/ABxifbiD8Y",CNN
23,-0.34,Mon Jan 15 03:41:06 +0000 2018,0.136,0.794,0.07,"Former US Defense Secretary Chuck Hagel called President Donald Trump ""an embarrassment"" and said he ""is doing grea… https://t.co/RBu9ly88f8",CNN
24,0.6369,Mon Jan 15 03:31:21 +0000 2018,0.0,0.704,0.296,Here's a 2018 guide to Macau's best casinos https://t.co/NxOy7F0bLZ via @CNNTravel https://t.co/qiKuWFw8sY,CNN
25,-0.4019,Mon Jan 15 03:30:05 +0000 2018,0.231,0.769,0.0,Pope Francis faces tensions on South America trip https://t.co/fgCzAXzNp2 https://t.co/nWNbl5PRMN,CNN
26,0.0,Mon Jan 15 03:19:41 +0000 2018,0.0,1.0,0.0,The NFL playoff game between the Pittsburgh Steelers and Jacksonville Jaguars went off without a hitch Sunday after… https://t.co/W8Cxr9AyxG,CNN
